"","Symbol","Year","Count"
"646","AHC","2008",4
"647","AHC","2013",4
"648","AHC","2014",4
"649","AHGP","2007",4
"650","AHGP","2008",4
"651","AHGP","2009",4
"652","AHII","2007",4
"653","AHII","2008",4
"654","AHII","2009",4
"655","AHII","2010",4
"656","AHL","2006",4
"657","AHL","2009",4
"658","AHL","2010",4
"659","AHL","2011",4
"660","AHL","2012",4
"661","AHL","2013",4
"662","AHMIQ","2006",4
"663","AHP","2014",4
"664","AHT","2010",4
"665","AHT","2014",4
"666","AI","2006",4
"667","AI","2007",4
"668","AIG","2006",4
"669","AIG","2007",4
"670","AIG","2008",4
"671","AIG","2012",4
"672","AIG","2013",4
"673","AIG","2014",4
"674","AIII","2010",4
"675","AIII","2011",4
"676","AIII","2012",4
"677","AIII","2013",4
"678","AIMC","2007",4
"679","AIMC","2008",4
"680","AIMC","2009",4
"681","AIMC","2012",4
"682","AIN","2009",4
"683","AIN","2012",4
"684","AIN","2013",4
"685","AIN","2014",4
"686","AIPC","2006",4
"687","AIPC","2007",4
"688","AIPC","2008",4
"689","AIQ","2011",4
"690","AIQ","2012",4
"691","AIR","2006",4
"692","AIR","2007",4
"693","AIR","2008",4
"694","AIR","2009",4
"695","AIR","2010",4
"696","AIR","2011",4
"697","AIR","2012",4
"698","AIR","2013",4
"699","AIR","2014",4
"700","AIRT","2013",4
"701","AIRT","2014",4
"702","AISLY","2007",4
"703","AIV","2012",4
"704","AIV","2014",4
"705","AIZ","2011",4
"706","AIZ","2012",4
"707","AJRD","2006",4
"708","AJRD","2007",4
"709","AJRD","2008",4
"710","AJRD","2009",4
"711","AJRD","2010",4
"712","AJRD","2011",4
"713","AJRD","2012",4
"714","AJRD","2013",4
"715","AJRD","2014",4
"716","AKAM","2007",4
"717","AKAM","2008",4
"718","AKAM","2009",4
"719","AKAM","2010",4
"720","AKP","2014",4
"721","AKRX","2014",4
"722","AKS","2008",4
"723","AKS","2011",4
"724","AL","2006",4
"725","ALB","2006",4
"726","ALB","2007",4
"727","ALB","2008",4
"728","ALB","2009",4
"729","ALB","2010",4
"730","ALB","2011",4
"731","ALB","2012",4
"732","ALB","2013",4
"733","ALB","2014",4
"734","ALDN","2007",4
"735","ALDN","2008",4
"736","ALE","2006",4
"737","ALE","2007",4
"738","ALE","2008",4
"739","ALE","2009",4
"740","ALE","2010",4
"741","ALE","2011",4
"742","ALE","2012",4
"743","ALE","2013",4
"744","ALE","2014",4
"745","ALEX","2013",4
"746","ALEX","2014",4
"747","ALGN","2006",4
"748","ALGN","2007",4
"749","ALGN","2008",4
"750","ALGN","2009",4
"751","ALGN","2010",4
"752","ALGN","2011",4
"753","ALGN","2012",4
"754","ALGN","2013",4
"755","ALGN","2014",4
"756","ALKS","2007",4
"757","ALL","2006",4
"758","ALL","2007",4
"759","ALL","2008",4
"760","ALL","2009",4
"761","ALL","2010",4
"762","ALL","2011",4
"763","ALL","2012",4
"764","ALL","2013",4
"765","ALLE","2014",4
"766","ALLI","2008",4
"767","ALLP","2007",4
"768","ALO","2007",4
"769","ALOG","2012",4
"770","ALOY","2006",4
"771","ALOY","2007",4
"772","ALOY","2008",4
"773","ALR","2006",4
"774","ALR","2011",4
"775","ALR","2012",4
"776","ALR","2013",4
"777","ALR","2014",4
"778","ALSK","2014",4
"779","ALSN","2014",4
"780","ALTV","2006",4
"781","ALTV","2014",4
"782","ALU","2006",4
"783","ALU","2007",4
"784","ALU","2008",4
"785","ALU","2009",4
"786","ALXN","2007",4
"787","AMAC","2008",4
"788","AMAC","2009",4
"789","AMAC","2010",4
"790","AMAT","2006",4
"791","AMAT","2007",4
"792","AMAT","2008",4
"793","AMAT","2009",4
"794","AMAT","2010",4
"795","AMAT","2011",4
"796","AMAT","2012",4
"797","AMAT","2013",4
"798","AMAT","2014",4
"799","AMBC","2014",4
"800","AMCC","2006",4
"801","AMCO","2010",4
"802","AMCS","2006",4
"803","AMCS","2007",4
"804","AMCS","2008",4
"805","AMCS","2009",4
"806","AMCX","2012",4
"807","AMCX","2013",4
"808","AMCX","2014",4
"809","AMD","2007",4
"810","AMD","2008",4
"811","AME","2006",4
"812","AME","2007",4
"813","AME","2008",4
"814","AME","2009",4
"815","AME","2010",4
"816","AME","2011",4
"817","AME","2012",4
"818","AME","2013",4
"819","AME","2014",4
"820","AMED","2009",4
"821","AMF","2006",4
"822","AMFW","2006",4
"823","AMFW","2009",4
"824","AMFW","2014",4
"825","AMG","2006",4
"826","AMG","2007",4
"827","AMG","2008",4
"828","AMGN","2006",4
"829","AMGN","2007",4
"830","AMGN","2008",4
"831","AMGN","2009",4
"832","AMGN","2010",4
"833","AMGN","2011",4
"834","AMGN","2012",4
"835","AMGN","2013",4
"836","AMGN","2014",4
"837","AMIC","2006",4
"838","AMKR","2009",4
"839","AMLN","2008",4
"840","AMLN","2009",4
"841","AMLN","2010",4
"842","AMLN","2011",4
"843","AMP","2006",4
"844","AMP","2007",4
"845","AMP","2008",4
"846","AMP","2009",4
"847","AMP","2010",4
"848","AMP","2011",4
"849","AMP","2012",4
"850","AMP","2013",4
"851","AMP","2014",4
"852","AMPLQ","2006",4
"853","AMRI","2009",4
"854","AMRI","2010",4
"855","AMRI","2011",4
"856","AMRI","2012",4
"857","AMRI","2013",4
"858","AMRI","2014",4
"859","AMT","2006",4
"860","AMT","2007",4
"861","AMT","2008",4
"862","AMT","2009",4
"863","AMT","2010",4
"864","AMT","2011",4
"865","AMT","2012",4
"866","AMT","2013",4
"867","AMTC","2010",4
"868","AMTC","2011",4
"869","AMTD","2006",4
"870","AMTD","2007",4
"871","AMTD","2009",4
"872","AMTD","2011",4
"873","AMTD","2012",4
"874","AMTD","2013",4
"875","AMTD","2014",4
"876","AMX","2006",4
"877","AMX","2007",4
"878","AMX","2008",4
"879","AMX","2009",4
"880","AMX","2010",4
"881","AMX","2011",4
"882","AMX","2012",4
"883","AMX","2013",4
"884","AMX","2014",4
"885","AMZN","2009",4
"886","AMZN","2010",4
"887","AMZN","2011",4
"888","AMZN","2013",4
"889","AMZN","2014",4
"890","AN","2006",4
"891","AN","2007",4
"892","AN","2008",4
"893","AN","2009",4
"894","AN","2010",4
"895","AN","2011",4
"896","AN","2012",4
"897","AN","2013",4
"898","AN","2014",4
"899","ANCB","2012",4
"900","ANCB","2013",4
"901","ANCB","2014",4
"902","ANDE","2013",4
"903","ANEN","2012",4
"904","ANEN","2013",4
"905","ANF","2007",4
"906","ANF","2008",4
"907","ANF","2013",4
"908","ANF","2014",4
"909","ANGO","2006",4
"910","ANGO","2007",4
"911","ANGO","2008",4
"912","ANGO","2009",4
"913","ANGO","2010",4
"914","ANGO","2011",4
"915","ANGO","2012",4
"916","ANGO","2013",4
"917","ANGO","2014",4
"918","ANH","2013",4
"919","ANRZQ","2006",4
"920","ANRZQ","2007",4
"921","ANRZQ","2008",4
"922","ANRZQ","2009",4
"923","ANRZQ","2010",4
"924","ANRZQ","2011",4
"925","ANTM","2009",4
"926","ANTM","2010",4
"927","ANTM","2011",4
"928","ANTM","2013",4
"929","ANTM","2014",4
"930","ANY","2011",4
"931","ANY","2012",4
"932","ANY","2013",4
"933","ANY","2014",4
"934","AOBI","2006",4
"935","AOBI","2007",4
"936","AOBI","2008",4
"937","AOBI","2009",4
"938","AOD","2012",4
"939","AOD","2013",4
"940","AOD","2014",4
"941","AOI","2007",4
"942","AOL","2010",4
"943","AOL","2011",4
"944","AOL","2012",4
"945","AON","2006",4
"946","AON","2007",4
"947","AON","2008",4
"948","AON","2009",4
"949","AON","2010",4
"950","AON","2011",4
"951","AON","2012",4
"952","AON","2013",4
"953","AON","2014",4
"954","AOS","2006",4
"955","AOS","2007",4
"956","AOS","2008",4
"957","AOS","2009",4
"958","AOS","2010",4
"959","AOS","2011",4
"960","AOS","2012",4
"961","AOS","2013",4
"962","AOS","2014",4
"963","AOSL","2014",4
"964","AP","2006",4
"965","AP","2007",4
"966","AP","2008",4
"967","AP","2009",4
"968","AP","2010",4
"969","AP","2011",4
"970","AP","2012",4
"971","AP","2013",4
"972","AP","2014",4
"973","APA","2006",4
"974","APA","2007",4
"975","APA","2008",4
"976","APA","2009",4
"977","APA","2010",4
"978","APA","2011",4
"979","APA","2012",4
"980","APA","2013",4
"981","APA","2014",4
"982","APB","2009",4
"983","APB","2010",4
"984","APB","2011",4
"985","APB","2012",4
"986","APB","2013",4
"987","APB","2014",4
"988","APC","2006",4
"989","APC","2007",4
"990","APC","2008",4
"991","APC","2009",4
"992","APC","2010",4
"993","APC","2011",4
"994","APC","2012",4
"995","APC","2013",4
"996","APC","2014",4
"997","APCVZ","2009",4
"998","APCVZ","2010",4
"999","APD","2007",4
"1000","APD","2008",4
"1001","APD","2010",4
"1002","APD","2011",4
"1003","APD","2012",4
"1004","APD","2013",4
"1005","APD","2014",4
"1006","APF","2006",4
"1007","APF","2007",4
"1008","APF","2008",4
"1009","APF","2009",4
"1010","APF","2010",4
"1011","APF","2011",4
"1012","APF","2012",4
"1013","APF","2013",4
"1014","APF","2014",4
"1015","APH","2006",4
"1016","APH","2007",4
"1017","APH","2008",4
"1018","APH","2009",4
"1019","APLX","2006",4
"1020","APOL","2008",4
"1021","APOL","2010",4
"1022","APSG","2010",4
"1023","APYI","2007",4
"1024","APYI","2008",4
"1025","AQNT","2006",4
"1026","ARB","2011",4
"1027","ARB","2012",4
"1028","ARCB","2009",4
"1029","ARCC","2008",4
"1030","ARCHER","2008",4
"1031","ARE","2010",4
"1032","ARG","2006",4
"1033","ARG","2007",4
"1034","ARG","2008",4
"1035","ARG","2009",4
"1036","ARG","2010",4
"1037","ARG","2011",4
"1038","ARIA","2007",4
"1039","ARIA","2014",4
"1040","ARII","2006",4
"1041","ARII","2007",4
"1042","ARII","2008",4
"1043","ARII","2009",4
"1044","ARII","2010",4
"1045","ARII","2011",4
"1046","ARII","2012",4
"1047","ARII","2013",4
"1048","ARII","2014",4
"1049","ARIS","2014",4
"1050","ARJ","2006",4
"1051","ARJ","2007",4
"1052","ARJ","2008",4
"1053","ARJ","2009",4
"1054","ARJ","2010",4
"1055","ARMK","2014",4
"1056","ARO","2010",4
"1057","AROC","2006",4
"1058","AROC","2007",4
"1059","AROC","2008",4
"1060","AROC","2012",4
"1061","AROC","2013",4
"1062","AROC","2014",4
"1063","ARRY","2008",4
"1064","ART","2010",4
"1065","ART","2011",4
"1066","ART","2012",4
"1067","ARTC","2006",4
"1068","ARTC","2007",4
"1069","ARTC","2008",4
"1070","ARTC","2009",4
"1071","ARTC","2010",4
"1072","ARTC","2011",4
"1073","ARTC","2012",4
"1074","ARTC","2013",4
"1075","ARTG","2006",4
"1076","ARTG","2007",4
"1077","ARTNA","2006",4
"1078","ARTNA","2007",4
"1079","ARTNA","2008",4
"1080","ARTNA","2009",4
"1081","ARWR","2006",4
"1082","ARWR","2007",4
"1083","ASB","2010",4
"1084","ASBB","2012",4
"1085","ASBB","2013",4
"1086","ASBB","2014",4
"1087","ASBI","2013",4
"1088","ASBI","2014",4
"1089","ASCMA","2009",4
"1090","ASCMA","2010",4
